DC_Identifier_LocalID	DC_Title	DC_Title_Other	DC_Creator	DC_Contributor	DC_Subject	DC_Description	DC_Publisher	DC_Date	DC_Type	DC_Format	DC_Identifier	DC_Identifier_LocalID	DC_Source	DC_Language	DC_Relation	DC_Relation_OtherFormat	DC_Relation_IsPartOf	DC_Relation_HasPart	DC_Coverage
084105	Story most lovely I'll tell	Crucifixion of Christ	Spencer, Charlie, b. 1873?: Performer| Spencer, Rosa: Performer	Cowell, Sidney Robertson: Collector	LCSH: Sacred vocal music	Forms part of a group of field materials documenting Charles Spencer performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound				eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
084106	Story most lovely I'll tell	Crucifixion of Christ	Spencer, Charlie, b. 1873?: Performer| Spencer, Rosa: Performer	Cowell, Sidney Robertson: Collector	LCSH: Sacred vocal music	Forms part of a group of field materials documenting Charles Spencer performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound				eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005302	Little brown bulls| Young Charlotte		Ford, Warde H.: Performer	Cowell, Sidney Robertson: Collector	Lumberjack| LCSH: Songs	Young Charlotte at the end of the track after Little brown bulls. Forms part of a group of field materials documenting Warde H. Ford performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005216	Fisher's hornpipe		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing an French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005217	Money musk medley		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.| SRC notes: "First part composed by Mr. Brusoe."		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005218	Good for the tongue		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005219	What Sam Gray whistled		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005220	Old McDonald's reel	Leather breeches	Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005221	Pigtown fling	Long-haired mule	Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005222	Lancers		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.| SRC notes: "In five parts. Mr. Brusoe is 67 years old. He used to play the lancers like this for dancing classes in Quebec in the 80's. He was taught to play by his older brother, who was well known as a fiddler in Canada. He says he does not read music but I am not sure this is true, and hope to find out, later. His playing is unusual in that he uses 3rd and 5th positions, and his playing is unusually true, clean and clear, for all his thickened fingers. He is the man who told me firmly 'They ain't no sech a thing as a square dance, I seen them things in Chicago but they was just quadrilles they didn't know how to do them"		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005223	Masurka		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.| SRC notes: "also a reminiscence of Canadian dancing classes"| SRC dust jacket notes: "These records are all overcut but when I reduce volume they are very noisy -- a bakery motor is running across the street."		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005224	Sicilian circle	Circassian circle	Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.| SRC notes: "The Sicilian or Circassian Circle, an old Canadian dance."		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005225	Devil's dream		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing  French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005226	Highland fling		Brusoe, Leizime: Fiddle	Cowell, Sidney Robertson: Collector	Provenance--French-Canadian| LCSH: Fiddle tune| Violin	Forms part of a group of field materials documenting Leizime Brusoe performing  French-Canadian fiddle tunes for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio						Archive of Folk Culture (Library of Congress)		Spatial: Oneida County (Wisconsin)| Spatial: Rhinelander, Wisconsin	
005301	Little brown bulls		Ford, Warde H.: Performer	Cowell, Sidney Robertson: Collector	Lumberjack| LCSH: Songs	Fragment. Forms part of a group of field materials documenting Warde H. Ford performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005303	Locks and bolts	Last night I dreamed of my true love| Lass o' Bennachie| At the Back o' Bennachie	Spencer, Charlie, b. 1873?: Performer	Cowell, Sidney Robertson: Collector	LCSH: Songs	Forms part of a group of field materials documenting Charles Spencer performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005304	I am a man of pleasure and to Blackwater came		Spencer, Charlie, b. 1873?: Performer	Cowell, Sidney Robertson: Collector	LCSH: Songs	Fragment. Forms part of a group of field materials documenting Charles Spencer performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005305	Sinking of the Titanic		Spencer, Charlie, b. 1873?: Performer| Fannin, Harry: Performer	Cowell, Sidney Robertson: Collector	LCSH: Songs	Forms part of a group of field materials documenting Charles Spencer performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
005306	Barbara Allen	Bonny Barbara Allen| Barbara Ellen| Barbary Allen	Ford, Warde H.: Performer	Cowell, Sidney Robertson: Collector	LCSH: Songs	Forms part of a group of field materials documenting Warde H. Ford performing Anglo-American ballads for the Special Skills Division of the Resettlement Administration.		1937-07	Sound	MIME: audio/x-pn-realaudio			eng			Archive of Folk Culture (Library of Congress)		Spatial: Forest County (Wisconsin)| Spatial: Crandon, Wisconsin	
