DC_Identifier_LocalID,permalink
1,https://digital.library.wisc.edu/1711.dl/XHBI44SEL6H5C8T
2,https://digital.library.wisc.edu/1711.dl/KAOR4SKD4TYYP8X
3,https://digital.library.wisc.edu/1711.dl/PZEHB5RIHRN6A8T
4,https://digital.library.wisc.edu/1711.dl/KS3EZ3ZESKWVS9E
5,https://digital.library.wisc.edu/1711.dl/R6PNZGR75UBXI8A
6,https://digital.library.wisc.edu/1711.dl/D6TPLB4DIPXQF8J
7,https://digital.library.wisc.edu/1711.dl/PYWBT5MYZUKY38C
8,https://digital.library.wisc.edu/1711.dl/AF3Q3BS55QZI58K
9,https://digital.library.wisc.edu/1711.dl/2TR27JCSVICIS8X
10,https://digital.library.wisc.edu/1711.dl/6HDNM2X7XAJHE8Z
11,https://digital.library.wisc.edu/1711.dl/7JJUMQJT6SJWO8F
12,https://digital.library.wisc.edu/1711.dl/XU4RYLBFXULD69B
13,https://digital.library.wisc.edu/1711.dl/UIKD4ABUQLB3L8H
14,https://digital.library.wisc.edu/1711.dl/QAWOOWKX3EYPT8O
15,https://digital.library.wisc.edu/1711.dl/U4HZACVKJ7GFX87
16,https://digital.library.wisc.edu/1711.dl/OCJEWR4JPISPL8T
17,https://digital.library.wisc.edu/1711.dl/MH7QFPEBMIWIV8X
18,https://digital.library.wisc.edu/1711.dl/N6A3PWXE44LQE9D
19,https://digital.library.wisc.edu/1711.dl/53XZY3CRNQ4P78C
20,https://digital.library.wisc.edu/1711.dl/MYQMKLIK6QOTM8H
21,https://digital.library.wisc.edu/1711.dl/QHJROR6EBRQHV86
22,https://digital.library.wisc.edu/1711.dl/AM3L7LILM6C3U8L
23,https://digital.library.wisc.edu/1711.dl/ZWHSQX4TM6WNG8V
24,https://digital.library.wisc.edu/1711.dl/IGFJV2PYIPOUZ8Q
25,https://digital.library.wisc.edu/1711.dl/FJVT5G42CPHOW8D
26,https://digital.library.wisc.edu/1711.dl/RB6BVRO5QAE7V8D
27,https://digital.library.wisc.edu/1711.dl/TMCZ7BINC4KS68E
