ID_again,City,lat,lon,status,DC_Title,DC_Creator,DC_Description
1,"Madison, WI, USA",43.081309,-89.395609,success,There lies a fair land,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass","Norwegian folk instrument| Miss Larson is a niece of Mrs. Thompson. The other two players are Mrs. Thompson's daughters. They are from McFarland, Wisconsin.| The psalmodikon, a one-string instrument, was originally used in Norway for sounding the single line of melody of the hymns.| Mrs. Thompson's father originated the idea of constructing a family of psalmodikons so four-part harmony could be played."
2,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a boy who came back from the war,"Beck, Anton de, b. 1866?","Belgian| A boy came back from the war. He saw a place where there was a light. It was the place where his girl lived. He went and knocked at the door of his girl's house, and she said she wouldn't open the door, as it was midnight, and her father and mother were asleep in bed. ""If I would go to your window, would you open it for me?"" ""My father's birds are in a room upstairs (and would be wakened). My boy friend, you are wasting time."" ""If I am wasting my time, I am surely passing it well. Do you remember when when both of us were passing our time with the candlelight?""| Belgian dialect of French - mostly French."
3,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young married couple,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young married couple who were asked how they felt. ""Tell me the news."" The answer was, ""Since he is married, he doesn't know anything."""
4,"Stevens Point, WI, USA",44.51956,-89.573683,success,Death of Matthew,"Bartosz, Adam, Mrs., b. 1905?","Polish folk song| He was a very popular boy in the village. Friends gathered around his body and said, ""Give him a mazurka and he'll get right up. In his soul is so much life, he will never die."""
5,"Oneida, WI, USA",44.475504,-88.243735,success,Christmas song,Oneida Indians of the Oneida Methodist and Episcopal Churches,Religious - Oneida
6,"Stevens Point, WI, USA",44.51956,-89.573683,success,Rendezvous of Jane with Johnny,"Bartosz, Adam, Mrs., b. 1905?",Polish folk song| Secret:  She would like to go out with him but she is afraid of the spanking she will get. She goes anyway.
7,"Prairie du Chien, WI, USA",43.042549,-91.141425,success,French love song,"La Bonne Valley, Virginia, b. 1864?",French-Canadian| Excerpt of complete song. Mrs. Valley learned this from her grandmother. The grandparents were born in Canada.
8,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young man at the Front,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young man at the Front. It says being in the war is hard; one would as soon die as not. The young man received a letter from his mother, but had no ink with which to write her. But he had a knife and dipped it into his blood and wrote to his mother. When she received it, her eyes changed, and she knew her heart was dying. She told the children to pray for their brother."
9,"Stevens Point, WI, USA",44.51956,-89.573683,success,Love pat across the water (river),"Bartosz, Adam, Mrs., b. 1905?","Polish folk song| All these songs are so simple, the people composed their own verses.| Boy is on one side of the ocean, girl on the other. She is thinking of how she may send him a love pat across the ocean."
10,"Linden, WI, USA",42.918516,-90.274171,success,Way up in heaven,"Avanell, Laura, b. 1866?","Welsh hymn| ""Way up in heaven among the angels| No one knows what it is (my story) -| Nobody but Jesus Christ knows,| Over there across the river.""| Mrs. Avanell learned this hymn as a small child attending a Welsh Sunday school."
11,"Stevens Point, WI, USA",44.51956,-89.573683,success,Hat with peacock feathers,"Bartosz, Adam, Mrs., b. 1905?",Polish folk song| The peasant boys dancing wear peacock feathers in their hats. This song is a warning to be careful not to break the feathers.
12,"Oneida, WI, USA",44.475504,-88.243735,success,Calling Jesus in glory,Oneida Indians of the Oneida Methodist and Episcopal Churches,Religious - Oneida| This is a favorite tune at the wakes.| [Title is a translation]
13,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young man who was looking for a job,"Beck, Anton de, b. 1866?","Belgian| These Belgians do not write their language - a Walloon dialect. Mr. Louis Ropson gave the translations.| This song is about a young man who was looking for a job. He got a job fixing shoes. There were three girls, and they gave him one. He didn't want to marry her now because he had a voyage to make. He would marry her when he came back."
14,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young man who went away,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young man who went away, and when he passed by his sweetheart he saluted her and asked forgiveness. He went to the town of Villevort and there they gave him black bread and water. It's easy to see that the town of Villevort is hard.| [2 perfomances]"
15,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young man who went to war,"Beck, Anton de, b. 1866?","Belgian| A young man went to war in France. When he came home, he asked for lodging from his mother. She received him politely, but she did not recognize him. When she knew it was he, she was satisfied and said, ""My loving son."" He said that all the boys of the village should go to war as he had, against the enemy, and recieve the star."
16,"Dyckesville, WI, USA",44.637035,-87.767163,success,About a young girl who lost her boy friend,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young girl who lost her boy friend (she was 15 years old). She dressed herself cocky, and went up to see the captain. The captain says she hasn't got the whiskers, and that he couldn't hire her out, but she volunteers. When he heard her he handed her a suit, and off she went to meet her boy friend. When she met him she said, ""Stop. You are holding my heart; we must fight it out."" She stuck her boy friend, and the blood flowed. The authorities handcuffed her, and called ""Cockles."" But she said, ""I'm not a cockle. I'm the major's child. My boy friend wants to fool me, but I played him a trick!"""
17,"Madison, WI, USA",43.081309,-89.395609,success,"'Ark, 'ark the 'eavenly angels sing","Persons, John, b. 1859?","Cornish| A favorite carol around Dodgeville, this is all Mr. Persons could remember. This was probably one of the Redruth-Camborne part carols."
18,"Wisconsin Dells, WI, USA",43.628055,-89.771693,success,2nd medicine song,"Blow Snake, Chief, b. 1871?","Winnebago| A medicine lodge has its degrees, and deals with spiritual as well as physical matters. The song says: ""You have talked about me, but upon this earth I stand with a clear conscience, with my eyes upon the Creator."" His maternal grandmother was of this profession. She tells how that herb was created by the Creator for that particular disease while she prepares the medicine."
19,"Rhinelander, WI, USA",45.644155,-89.400934,success,4-step schottishe and a 2-step schottishe,"Brusoe, Leizime, b. 1870?",Old time fiddler tunes
20,"Plainfield, WI, USA",44.213709,-89.494963,success,A lumbering we will go,"Moody, Lewis Winfield, b. 1865?",Lumberjack song
21,"Milwaukee, WI, USA",43.063146,-87.948334,success,A witajze,"Pokora, Stasia","Polish| This song is about a girl who resists marrying an old man with money. Her Martin finally returns, and she is happy."
22,"Milltown, WI, USA",45.526651,-92.499354,success,Aa kjoyra vatten aa knoyra ve,"Lothe, Brithe, b. 1871?","Norwegian| ""I can haul water, I can haul wood, but I want to haul my own girl."""
23,"Somerset, WI, USA",45.130029,-92.676858,success,"Adieu me mere, je pars pour l'Italie","Belisle, Ernest Joseph, b. 1901?",French-Canadian| Mr. Belisle learned this song from his Grandfather Belisle.| It is a song about a young man who is leaving for the army.
24,"Madison, WI, USA",43.081309,-89.395609,success,Aftensang,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",Norwegian folk instrument
25,"Rhinelander, WI, USA",45.644155,-89.400934,success,After the ball,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| This was recorded at Mr. Brusoe's insistance.
26,"Waukesha, WI, USA",43.02433,-88.244537,success,"Ah, si mon maine voulait danser","Starr, Morton Hull, Mrs.",Canadian French| Play song
27,"Pickett, WI, USA",43.911389,-88.729722,success,Ai am fy meiau i,Cymanfa Ganu Congregation,"Welsh hymn| Tune: Penpark (J.T. Rees, Mus. Doc.)| See C̢n a mawl #214."
28,"Somerset, WI, USA",45.130029,-92.676858,success,Aime moi bien,"La Grandeur, Donalda, b. 1894?","French-Canadian| Miss LaGrandeur learned this song from her mother, who was born in Quebec. She cannot recall all the words.| ""Aime moi bien, ton amour me fait vivre| Comme l'abeille au calice des fleurs| Ton doux regard, ton souffle qui m'anime| Cesse la la vie, cesse la touts les douleurs| Hmmmmmmm| Aime moi bien ton amour me fait vivre| Cesse, la, la vie, cesse la touts les douleurs."""
29,"Plainfield, WI, USA",44.213709,-89.494963,success,Alec Brown,"Moody, Lewis Winfield, b. 1865?",Vulgar
30,"Mukwonago, WI, USA",42.862336,-88.323693,success,All together,"Lobdell, Hamilton, b. 1854?",A song which used to be sung at the School Section picnics.
31,"Plainfield, WI, USA",44.213709,-89.494963,success,Alphabet song,"Moody, Lewis Winfield, b. 1865?",Vulgar
32,"Madison, WI, USA",43.081309,-89.395609,success,Alte Uhr,"Huber, Hans, b. 1901?",Bavarian
33,"Black River Falls, WI, USA",44.300723,-90.843263,success,Andulko,"Perry, Frances",Bohemian folksong
34,"Wausau, WI, USA",44.963482,-89.639884,success,An einem Fluss daraus an Schuss,"Steinbach, Martha, b. 1890?","German folk song| She learned the song when nine years old from her mother, who was born in Germany. She says the song is about 500 years old. She has never heard anyone else sing it. Great grandmother had been an ""Amme"" - nursemaid - who learned the song from her grandmother. Mrs. Steinbach's mother asked that she never let it die because it had been passed on from generation to generation. It is the story of an orphan child and a rich man who befriended her."
35,"Dodgeville, WI, USA",42.964713,-90.130774,success,Ar ̫l gofidiau,"Reese, William, b. 1858?| Phillips, Selina, b. 1875?","Tune - Y nefoedd (J. Mainzer), see C̢n a mawl #244."
36,"Plainfield, WI, USA",44.213709,-89.494963,success,As I went out walking one morning in spring,"Moody, Lewis Winfield, b. 1865?",Vulgar
37,"Darlington, WI, USA",42.682928,-90.115182,success,As long as the stomach fits into the vest,"Taschek, Louis, b. 1897?","Austrian| ""As long as the stomach fits into the vest, no work will be started. Raise high the wine, the fatherland should live.| Laura, Laura, when I see you, my heart goes like the fishes in the brook -"""
38,"Sheboygan, WI, USA",43.756279,-87.723689,success,As uz jury,"Aldakauskas, Mary| Hidde, Walter, Mrs.",Lithuanian
39,"Millville, WI, USA",43.01865,-90.93917,success,As Willie and Mary strolled by the seaside,"Brown, Noble B., b. 1885?","English| Mr. Brown learned this song from his mother.| An additional verse not on the record is:| ""Oh do not despair, precious Mary,"" he said| As he clasped the fair maid in his arms.| To the church he repaired, it was not far away,| Was enriched by the loyal maid's charms."
40,"Blair, WI, USA",44.296263,-91.225443,success,"Astri, mi Astri","Everson, Alice, b. 1891?",Norwegian| Astri is the name of a girl.
41,"Green Bay, WI, USA",44.517447,-87.954553,success,Auguste tu n'est pas juste,"Maes, Desire, b. 1873?","Comic French folk song| About a wife complaining that there has been considerable change in his love-making since their first night, that he pays too much attention to his business and not enough to her."
42,"Oostburg, WI, USA",43.623074,-87.789119,success,Avondsgedachten,"Scholten, A. C. G. Gysbers, Mrs.","Dutch folk song| Mrs. Scholten learned this when a child in singing school in Winterswyk, Holland."
43,"Harvard, IL, USA",42.420737,-88.613519,success,"Awake, arise, you drowsy sleeper","Coffee, Lester A., b. 1871?",This is another old song that Mr. Coffee learned as a small boy.
44,"Schofield, WI, USA",44.918498,-89.609749,success,Baggage coach ahead,"Gordon, Bessie, b. 1901?",Sentimental ballad| Learned the song from her mother. Mrs. Gordon runs a crossroads tavern about eight feet square. She sings for her patrons and accompanies herself on a reed organ which she had cut down to fit under the bar.
45,"Harvard, IL, USA",42.420737,-88.613519,success,Banks of the Old Mohawk,"Coffee, Lester A., b. 1871?",New England ballad
46,"Rhinelander, WI, USA",45.644155,-89.400934,success,Barbara polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion","Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).| [2 performances]: 1st cutting (fade out), good recording except polka was too long for space on record."
47,"Mukwonago, WI, USA",42.862336,-88.323693,success,Barker's call (recitation),"Lobdell, Hamilton, b. 1854?",
48,"Yuba, WI, USA",43.535455,-90.426785,success,Baruska,"Yansky, Joe",Bohemian polka| Accordion and drums. One man band.
49,"Black River Falls, WI, USA",44.300723,-90.843263,success,Be with us forever,"Stacy, Stella: Vocals| Oestreich, Nancy: Announcer","Peyote religious song| ""Be with us forever, don't ever let us go astray, take me into eternal life."""
50,"Pearson, WI, USA",45.364167,-89.016389,success,Beneath the linden tree (I saw my gentle mother),"Borusky, Pearl Jacobs, b. 1901?",Kentucky folk song
51,"Plainfield, WI, USA",44.213709,-89.494963,success,Big brick house in a Georgia town,"Moody, Lewis Winfield, b. 1865?",Vulgar!!!!!!
52,"White Lake, WI, USA",45.160727,-88.772136,success,Billy Vanero,"Royce, Luther, b. 1913?","Cowboy song| [This song is] from a collection ""on old pieces of paper in hand writin'"" from his grandmother."
53,"Lancaster, WI, USA",42.846347,-90.707772,success,Birdies' ball,"Fowler, James H., Mrs., b. 1872?",American| This song is at least 100 years old. Mrs. Fowler's father sang it to her as a lullaby when she was a baby.
