ID_again,City,lat,lon,DC_Title
1,"Madison, WI, USA",43.081309,-89.395609,There lies a fair land
2,"Dyckesville, WI, USA",44.637035,-87.767163,About a boy who came back from the war
3,"Dyckesville, WI, USA",44.637035,-87.767163,About a young married couple
4,"Stevens Point, WI, USA",44.51956,-89.573683,Death of Matthew
5,"Oneida, WI, USA",44.475504,-88.243735,Christmas song
6,"Stevens Point, WI, USA",44.51956,-89.573683,Rendezvous of Jane with Johnny
7,"Prairie du Chien, WI, USA",43.042549,-91.141425,French love song
8,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man at the Front
9,"Stevens Point, WI, USA",44.51956,-89.573683,Love pat across the water (river)
10,"Linden, WI, USA",42.918516,-90.274171,Way up in heaven
11,"Stevens Point, WI, USA",44.51956,-89.573683,Hat with peacock feathers
12,"Oneida, WI, USA",44.475504,-88.243735,Calling Jesus in glory
13,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who was looking for a job
14,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who went away
15,"Dyckesville, WI, USA",44.637035,-87.767163,About a young man who went to war
16,"Dyckesville, WI, USA",44.637035,-87.767163,About a young girl who lost her boy friend
17,"Madison, WI, USA",43.081309,-89.395609,"'Ark, 'ark the 'eavenly angels sing"
18,"Wisconsin Dells, WI, USA",43.628055,-89.771693,2nd medicine song
19,"Rhinelander, WI, USA",45.644155,-89.400934,4-step schottishe and a 2-step schottishe
20,"Plainfield, WI, USA",44.213709,-89.494963,A lumbering we will go
21,"Milwaukee, WI, USA",43.063146,-87.948334,A witajze
22,"Milltown, WI, USA",45.526651,-92.499354,Aa kjoyra vatten aa knoyra ve
23,"Somerset, WI, USA",45.130029,-92.676858,"Adieu me mere, je pars pour l'Italie"
24,"Madison, WI, USA",43.081309,-89.395609,Aftensang
25,"Rhinelander, WI, USA",45.644155,-89.400934,After the ball
26,"Waukesha, WI, USA",43.02433,-88.244537,"Ah, si mon maine voulait danser"
27,"Pickett, WI, USA",43.911389,-88.729722,Ai am fy meiau i
28,"Somerset, WI, USA",45.130029,-92.676858,Aime moi bien
29,"Plainfield, WI, USA",44.213709,-89.494963,Alec Brown
30,"Mukwonago, WI, USA",42.862336,-88.323693,All together
31,"Plainfield, WI, USA",44.213709,-89.494963,Alphabet song
32,"Madison, WI, USA",43.081309,-89.395609,Alte Uhr
33,"Black River Falls, WI, USA",44.300723,-90.843263,Andulko
34,"Wausau, WI, USA",44.963482,-89.639884,An einem Fluss daraus an Schuss
35,"Dodgeville, WI, USA",42.964713,-90.130774,Ar ̫l gofidiau
36,"Plainfield, WI, USA",44.213709,-89.494963,As I went out walking one morning in spring
