DC_Identifier_LocalID,DC_Title,DC_Title_Other,DC_Creator,DC_Contributor,DC_Subject,DC_Description,DC_Publisher,DC_Date,DC_Type,DC_Format,DC_Identifier,DC_Identifier_LocalID,DC_Source,DC_Language,DC_Relation,DC_Relation_OtherFormat,DC_Relation_IsPartOf,DC_Relation_HasPart,DC_Coverage,Note,permalink,ID_again,City,lat,lon,status
1,There lies a fair land,,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",,Psalmodikon music,"Norwegian folk instrument| Miss Larson is a niece of Mrs. Thompson. The other two players are Mrs. Thompson's daughters. They are from McFarland, Wisconsin.| The psalmodikon, a one-string instrument, was originally used in Norway for sounding the single line of melody of the hymns.| Mrs. Thompson's father originated the idea of constructing a family of psalmodikons so four-part harmony could be played.",,5/16/1941,Sound,Sound recording,,,,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/XHBI44SEL6H5C8T,1,"Madison, WI, USA",43.081309,-89.395609,success
2,About a boy who came back from the war,,"Beck, Anton de, b. 1866?",,Belgian| Voice| War,"Belgian| A boy came back from the war. He saw a place where there was a light. It was the place where his girl lived. He went and knocked at the door of his girl's house, and she said she wouldn't open the door, as it was midnight, and her father and mother were asleep in bed. ""If I would go to your window, would you open it for me?"" ""My father's birds are in a room upstairs (and would be wakened). My boy friend, you are wasting time."" ""If I am wasting my time, I am surely passing it well. Do you remember when when both of us were passing our time with the candlelight?""| Belgian dialect of French - mostly French.",,8/31/1946,Sound,Sound recording,,,fre,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/KAOR4SKD4TYYP8X,2,"Dyckesville, WI, USA",44.637035,-87.767163,success
3,About a young married couple,,"Ropson, Theuphiel, b. 1871?",,Belgian| Voice| Love,"Belgian| This song is about a young married couple who were asked how they felt. ""Tell me the news."" The answer was, ""Since he is married, he doesn't know anything.""",,8/31/1946,Sound,Sound recording,,,wln,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/PZEHB5RIHRN6A8T,3,"Dyckesville, WI, USA",44.637035,-87.767163,success
4,Death of Matthew,,"Bartosz, Adam, Mrs., b. 1905?",,Voice,"Polish folk song| He was a very popular boy in the village. Friends gathered around his body and said, ""Give him a mazurka and he'll get right up. In his soul is so much life, he will never die.""",,7/23/1941,Sound,Sound recording,,,pol,,,,,Spatial: Stevens Point (Wis.),,,https://digital.library.wisc.edu/1711.dl/KS3EZ3ZESKWVS9E,4,"Stevens Point, WI, USA",44.51956,-89.573683,success
5,Christmas song,,Oneida Indians of the Oneida Methodist and Episcopal Churches,,Oneida| Voices| Religious| Christmas,Religious - Oneida,,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/R6PNZGR75UBXI8A,5,"Oneida, WI, USA",44.475504,-88.243735,success
6,Rendezvous of Jane with Johnny,,"Bartosz, Adam, Mrs., b. 1905?",,Voice,Polish folk song| Secret:  She would like to go out with him but she is afraid of the spanking she will get. She goes anyway.,,7/23/1941,Sound,Sound recording,,,pol,,,,,Spatial: Stevens Point (Wis.),,,https://digital.library.wisc.edu/1711.dl/D6TPLB4DIPXQF8J,6,"Stevens Point, WI, USA",44.51956,-89.573683,success
7,French love song,,"La Bonne Valley, Virginia, b. 1864?",,French-Canadian| Voice| Love,French-Canadian| Excerpt of complete song. Mrs. Valley learned this from her grandmother. The grandparents were born in Canada.,,8/19/1941,Sound,Sound recording,,,fre,,,,,Spatial: Prairie du Chien (Wis.),,,https://digital.library.wisc.edu/1711.dl/PYWBT5MYZUKY38C,7,"Prairie du Chien, WI, USA",43.042549,-91.141425,success
8,About a young man at the Front,,"Ropson, Theuphiel, b. 1871?",,Belgian| Voice| War,"Belgian| This song is about a young man at the Front. It says being in the war is hard; one would as soon die as not. The young man received a letter from his mother, but had no ink with which to write her. But he had a knife and dipped it into his blood and wrote to his mother. When she received it, her eyes changed, and she knew her heart was dying. She told the children to pray for their brother.",,8/31/1946,Sound,Sound recording,,,wln,,,,,Spatial: Dykesville (Wis.),,,https://digital.library.wisc.edu/1711.dl/AF3Q3BS55QZI58K,8,"Dyckesville, WI, USA",44.637035,-87.767163,success
9,Love pat across the water (river),,"Bartosz, Adam, Mrs., b. 1905?",,Voice| Love,"Polish folk song| All these songs are so simple, the people composed their own verses.| Boy is on one side of the ocean, girl on the other. She is thinking of how she may send him a love pat across the ocean.",,7/23/1941,Sound,Sound recording,,,pol,,,,,Spatial: Stevens Point (Wis.),,,https://digital.library.wisc.edu/1711.dl/2TR27JCSVICIS8X,9,"Stevens Point, WI, USA",44.51956,-89.573683,success
10,Way up in heaven,,"Avanell, Laura, b. 1866?",,Voice| Hymns,"Welsh hymn| ""Way up in heaven among the angels| No one knows what it is (my story) -| Nobody but Jesus Christ knows,| Over there across the river.""| Mrs. Avanell learned this hymn as a small child attending a Welsh Sunday school.",,8/22/1946,Sound,Sound recording,,,wel,,,,,Spatial: Linden (Wis.),,,https://digital.library.wisc.edu/1711.dl/6HDNM2X7XAJHE8Z,10,"Linden, WI, USA",42.918516,-90.274171,success
11,Hat with peacock feathers,,"Bartosz, Adam, Mrs., b. 1905?",,Polish| Voice,Polish folk song| The peasant boys dancing wear peacock feathers in their hats. This song is a warning to be careful not to break the feathers.,,7/23/1941,Sound,Sound recording,,,pol,,,,,Spatial: Stevens Point (Wis.),,,https://digital.library.wisc.edu/1711.dl/7JJUMQJT6SJWO8F,11,"Stevens Point, WI, USA",44.51956,-89.573683,success
12,Calling Jesus in glory,,Oneida Indians of the Oneida Methodist and Episcopal Churches,,Oneida| Voice| Funeral| Sacred,Religious - Oneida| This is a favorite tune at the wakes.| [Title is a translation],,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/XU4RYLBFXULD69B,12,"Oneida, WI, USA",44.475504,-88.243735,success
