DC_Identifier_LocalID,DC_Title,DC_Creator,DC_Description,DC_Format,permalink,ID_again,City,lat,lon,DC_Date
1,There lies a fair land,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass","Norwegian folk instrument| Miss Larson is a niece of Mrs. Thompson. The other two players are Mrs. Thompson's daughters. They are from McFarland, Wisconsin.| The psalmodikon, a one-string instrument, was originally used in Norway for sounding the single line of melody of the hymns.| Mrs. Thompson's father originated the idea of constructing a family of psalmodikons so four-part harmony could be played.",Sound recording,https://digital.library.wisc.edu/1711.dl/XHBI44SEL6H5C8T,1,"Madison, WI, USA",43.081309,-89.395609,5/16/1941
2,About a boy who came back from the war,"Beck, Anton de, b. 1866?","Belgian| A boy came back from the war. He saw a place where there was a light. It was the place where his girl lived. He went and knocked at the door of his girl's house, and she said she wouldn't open the door, as it was midnight, and her father and mother were asleep in bed. ""If I would go to your window, would you open it for me?"" ""My father's birds are in a room upstairs (and would be wakened). My boy friend, you are wasting time."" ""If I am wasting my time, I am surely passing it well. Do you remember when when both of us were passing our time with the candlelight?""| Belgian dialect of French - mostly French.",Sound recording,https://digital.library.wisc.edu/1711.dl/KAOR4SKD4TYYP8X,2,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
3,About a young married couple,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young married couple who were asked how they felt. ""Tell me the news."" The answer was, ""Since he is married, he doesn't know anything.""",Sound recording,https://digital.library.wisc.edu/1711.dl/PZEHB5RIHRN6A8T,3,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
4,Death of Matthew,"Bartosz, Adam, Mrs., b. 1905?","Polish folk song| He was a very popular boy in the village. Friends gathered around his body and said, ""Give him a mazurka and he'll get right up. In his soul is so much life, he will never die.""",Sound recording,https://digital.library.wisc.edu/1711.dl/KS3EZ3ZESKWVS9E,4,"Stevens Point, WI, USA",44.51956,-89.573683,7/23/1941
5,Christmas song,Oneida Indians of the Oneida Methodist and Episcopal Churches,Religious - Oneida,Sound recording,https://digital.library.wisc.edu/1711.dl/R6PNZGR75UBXI8A,5,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
6,Rendezvous of Jane with Johnny,"Bartosz, Adam, Mrs., b. 1905?",Polish folk song| Secret:  She would like to go out with him but she is afraid of the spanking she will get. She goes anyway.,Sound recording,https://digital.library.wisc.edu/1711.dl/D6TPLB4DIPXQF8J,6,"Stevens Point, WI, USA",44.51956,-89.573683,7/23/1941
7,French love song,"La Bonne Valley, Virginia, b. 1864?",French-Canadian| Excerpt of complete song. Mrs. Valley learned this from her grandmother. The grandparents were born in Canada.,Sound recording,https://digital.library.wisc.edu/1711.dl/PYWBT5MYZUKY38C,7,"Prairie du Chien, WI, USA",43.042549,-91.141425,8/19/1941
8,About a young man at the Front,"Ropson, Theuphiel, b. 1871?","Belgian| This song is about a young man at the Front. It says being in the war is hard; one would as soon die as not. The young man received a letter from his mother, but had no ink with which to write her. But he had a knife and dipped it into his blood and wrote to his mother. When she received it, her eyes changed, and she knew her heart was dying. She told the children to pray for their brother.",Sound recording,https://digital.library.wisc.edu/1711.dl/AF3Q3BS55QZI58K,8,"Dyckesville, WI, USA",44.637035,-87.767163,8/31/1946
9,Love pat across the water (river),"Bartosz, Adam, Mrs., b. 1905?","Polish folk song| All these songs are so simple, the people composed their own verses.| Boy is on one side of the ocean, girl on the other. She is thinking of how she may send him a love pat across the ocean.",Sound recording,https://digital.library.wisc.edu/1711.dl/2TR27JCSVICIS8X,9,"Stevens Point, WI, USA",44.51956,-89.573683,7/23/1941
10,Way up in heaven,"Avanell, Laura, b. 1866?","Welsh hymn| ""Way up in heaven among the angels| No one knows what it is (my story) -| Nobody but Jesus Christ knows,| Over there across the river.""| Mrs. Avanell learned this hymn as a small child attending a Welsh Sunday school.",Sound recording,https://digital.library.wisc.edu/1711.dl/6HDNM2X7XAJHE8Z,10,"Linden, WI, USA",42.918516,-90.274171,8/22/1946
